0x13b498|16|恐いけど先に進むしかないようだ…{NL}イザとなったら得意のパチンコを{NL}使おう！{BP}{f5}{COLOUR:YELLOW}パチンコは、{BUTTON:07}でかまえて{NL}{BUTTON:01}で撃つことができるぞ。{NL}同時に{BUTTON:06}を使えば、{NL}見回しながら撃つこともできる。{BP}{f5}{COLOUR:WHITE}操作方法がわからなくなったら、{NL}スタートボタンでメニュー画面を{NL}開いて、その中にあるアクション{NL}画面を見てみよう。{BP}{END}|I'm scared, but I need to keep{NL}going{ELLIPSIS} At least I have my{NL}slingshot!{BP}{f5}{COLOUR:YELLOW}Aim the slingshot with {BUTTON:R2} and{NL}fire with {BUTTON:CIRCLE}.{NL}Look around while aiming with{NL}{BUTTON:L2}.{BP}{END}
||ジャンプではとどきそうもない…{NL}ジャンプしてふちにつかまって、{NL}よじ登ればいいのかな？{BP}{f5}{COLOUR:YELLOW}{BUTTON:02}でジャンプして、{BUTTON:01}{NL}でふちにつかまることができるぞ。{NL}ふちにつかまったら{BUTTON:00}の{COLOUR:CYAN}↑{COLOUR:YELLOW}で{NL}よじ登れる。{BP}{END}|I can't jump that high{ELLIPSIS} Maybe ifI grab the edge and climb up?{BP}{f5}{COLOUR:YELLOW}Jump with {BUTTON:X} and grab the edge{NL}with {BUTTON:CIRCLE}. Then, climb up with{NL}{BUTTON:D} {COLOUR:CYAN}{UP}{COLOUR:YELLOW}.{BP}{END}
||地割れの底が見えない。{NL}こんな高い所から落ちたら大変だ…{NL}{BP}{f5}{COLOUR:YELLOW}落ちると大変そうな所では、{NL}{BUTTON:03}で歩いて移動しよう。{NL}歩いているときは、ガケから{NL}先には移動しなくなる。{BP}{f5}{COLOUR:WHITE}右側に洞窟があるぞ、洞窟へ{NL}入ってみよう。{BP}{END}|I can't see the bottom{ELLIPSIS}{NL}This fall would kill me!{BP}{f5}{COLOUR:YELLOW}Walk with {BUTTON:SQUARE} so you don't go pastthe edge and fall.{BP}{f5}{COLOUR:WHITE}I should go check that cave{NL}over there.{BP}{END}
||下にすきまがある。{NL}しゃがんで前転をすれば、通り抜け{NL}ることができるかもしれない…{NL}{BP}{f5}{COLOUR:YELLOW}{BUTTON:04}でしゃがむことができる。{NL}しゃがんだ状態で{BUTTON:00}の{COLOUR:CYAN}↑{COLOUR:YELLOW}で{NL}前転、{BUTTON:00}の{COLOUR:CYAN}↓{COLOUR:YELLOW}で後転が{NL}できるぞ。{BP}{END}|I can get through that gap by{NL}rolling{ELLIPSIS}{BP}{f5}{COLOUR:YELLOW}Crouch with {BUTTON:TRIANGLE} and roll forward{NL}with {BUTTON:D} {COLOUR:CYAN}{UP}{COLOUR:YELLOW} or backwards with{NL}{BUTTON:D} {COLOUR:CYAN}{DOWN}{COLOUR:YELLOW}.{BP}{END}
||索い地割れに落ちてしまったので、{NL}山道にはもどれそうにない…{BP}{END}|I can't get back to the mountainpath{ELLIPSIS}{BP}{END}
||{COLOUR:WHITE}　じゃあ、気をつけて行っといで{END}|{COLOUR:WHITE}Take care.{END}
||{f5}　　　　うん、わかった{END}|{f5}Got it.{END}
||{f5}　　　　　気をつけてね{END}|{f5}Be careful.{END}
||{f5}　　　　呪い山の方には{NL}　　　　行くんじゃないよ{END}|{f5}Don't go near Mt. Curse!{END}
||{f5}　平気だよ、恐くなんかないもん{END}|{f5}It's OK, I'm not scared.{END}
